2452126.69124 18.412 0.081 8.13 1194.0
2452130.48399 18.171 0.032 4.47 831.0
2452133.50987 18.313 0.037 4.23 873.0
2452179.50168 18.302 0.057 6.07 1168.0
2452189.49678 18.509 0.066 6.11 1029.0
2452333.90252 18.365 0.046 4.63 1365.0
2452337.80920 18.256 0.041 4.01 1392.0
2452349.82758 18.256 0.040 5.15 914.0
2452357.82071 18.268 0.039 4.51 886.0
2452365.89526 18.283 0.040 4.35 1129.0
2452373.77572 18.309 0.042 4.99 893.0
2452464.76687 18.283 0.032 3.54 785.0
2452708.90155 18.355 0.040 4.12 879.0
2452850.63392 18.304 0.033 3.68 926.0
2452858.76123 18.298 0.050 4.47 1410.0
2453059.84734 18.309 0.045 4.96 941.0
2453064.86252 18.341 0.045 4.65 1035.0
2453068.81587 18.404 0.052 4.75 1157.0
2453070.90110 18.305 0.038 3.67 1137.0
2453073.85355 18.292 0.037 3.73 1062.0
2453075.88815 18.434 0.044 4.05 1061.0
2453080.80070 18.401 0.050 4.51 1203.0
2453083.75495 18.330 0.040 4.41 828.0
2453085.85157 18.216 0.030 4.00 747.0
2453087.77924 18.492 0.048 5.04 834.0
2453089.82623 18.334 0.028 3.43 799.0
2453091.88045 18.301 0.031 3.78 812.0
2453097.80536 18.363 0.046 4.80 955.0
2453099.89192 18.448 0.052 5.25 914.0
2453101.79705 18.183 0.038 4.41 1086.0
2453102.89177 18.317 0.038 3.58 1034.0
2453104.74746 18.330 0.101 3.72 7020.0
2453106.88914 18.293 0.043 3.94 1673.0
2453107.87958 18.210 0.039 3.82 1448.0
2453109.81657 18.314 0.031 3.38 802.0
2453110.88321 18.326 0.033 3.84 896.0
2453112.88248 18.268 0.031 4.36 717.0
2453113.89379 18.363 0.038 4.38 776.0
2453114.82414 18.257 0.031 3.93 833.0
2453115.88457 18.286 0.032 4.06 838.0
2453116.86497 18.364 0.038 4.11 851.0
2453124.75670 18.323 0.048 5.73 928.0
2453126.69626 18.330 0.035 3.66 861.0
2453127.86261 18.451 0.045 4.03 1010.0
2453128.86244 18.255 0.045 4.84 1205.0
2453130.74140 18.305 0.042 3.58 1387.0
2453131.70778 18.350 0.057 5.04 1417.0
2453134.87683 18.399 0.087 5.34 2979.0
2453137.75883 18.369 0.046 5.72 906.0
2453138.64417 18.331 0.045 4.66 948.0
2453139.93148 18.347 0.038 4.06 1054.0
2453142.81219 18.342 0.034 4.02 916.0
2453144.82921 18.403 0.036 4.10 801.0
2453146.87494 18.329 0.036 4.59 779.0
2453151.79988 18.338 0.043 5.64 777.0
2453152.80143 18.307 0.042 4.62 897.0
