2072.60108 17.763 0.042 11  0 A
2072.61102 17.682 0.031 11  0 A
2072.62234 17.696 0.034 11  0 A
2072.63095 17.643 0.031 11  0 A
2072.63958 17.674 0.030 11  0 A
2072.65503 17.657 0.029 11  0 A
2072.66365 17.682 0.030 11  0 A
2072.67231 17.649 0.027 11  0 A
2072.68095 17.654 0.029 11  0 A
2072.68960 17.660 0.032 11  0 A
2072.69825 17.650 0.031 11  0 A
2072.72835 17.646 0.026 11  0 A
2072.73697 17.641 0.027 11  0 A
2072.74556 17.633 0.025 11  0 A
2072.75421 17.686 0.031 11  0 A
2072.76281 17.673 0.030 11  0 A
2072.77143 17.636 0.028 11  0 A
2072.78046 17.644 0.029 11  0 A
2072.78907 17.651 0.029 11  0 A
2072.79767 17.668 0.028 11  0 A
2072.80629 17.645 0.029 11  0 A
2072.81493 17.663 0.031 11  0 A
2072.82353 17.657 0.031 11  0 A
2072.83306 17.680 0.032 11  0 A
2072.84195 17.658 0.032 11  0 A
2072.85106 17.649 0.035 11  0 A
2072.86194 17.659 0.033 11  0 A
2072.87052 17.672 0.034 11  0 A
2072.87913 17.613 0.037 11  0 A
2072.89329 17.720 0.045 11  0 A
2072.90189 17.762 0.043 11  0 A
2072.91045 17.600 0.040 11  0 A
2073.58234 17.686 0.038 11  0 A
2073.59771 17.673 0.032 11  0 A
2073.60632 17.661 0.031 11  0 A
2073.61491 17.669 0.029 11  0 A
2073.62354 17.685 0.030 11  0 A
2073.63217 17.737 0.031 11  0 A
2073.64077 17.728 0.032 11  0 A
2073.64955 17.679 0.031 11  0 A
2073.65819 17.643 0.028 11  0 A
2073.66871 17.688 0.026 11  0 A
2073.67766 17.665 0.028 11  0 A
2073.68629 17.670 0.029 11  0 A
2073.69492 17.670 0.030 11  0 A
2073.70352 17.663 0.027 11  0 A
2073.71219 17.691 0.027 11  0 A
2073.72082 17.695 0.027 11  0 A
2073.73028 17.665 0.033 11  0 A
2073.73886 17.658 0.028 11  0 A
2073.74743 17.640 0.027 11  0 A
2073.75603 17.669 0.027 11  0 A
2073.76461 17.654 0.025 11  0 A
2073.77321 17.637 0.027 11  0 A
2073.78648 17.719 0.029 11  0 A
2073.80914 17.716 0.034 11  0 A
2073.82494 17.619 0.029 11  0 A
2073.83397 17.638 0.036 11  0 A
2073.84915 17.722 0.033 11  0 A
2073.85774 17.694 0.031 11  0 A
2073.86633 17.663 0.031 11  0 A
2073.87493 17.677 0.036 11  0 A
2073.88353 17.721 0.037 11  0 A
2073.89703 17.748 0.046 11  0 A
2073.90560 99.999 9.999 11  0 A
2074.57630 17.684 0.031 11  0 A
2074.58493 17.710 0.032 11  0 A
2074.59355 17.734 0.038 11  0 A
2074.60217 17.738 0.034 11  0 A
2074.61079 17.675 0.032 11  0 A
2074.61943 17.684 0.034 11  0 A
2074.63716 17.694 0.044 11  0 A
2074.64576 17.712 0.041 11  0 A
2074.65436 17.684 0.043 11  0 A
2074.66303 17.696 0.037 11  0 A
2074.67166 17.652 0.029 11  0 A
2074.68051 17.677 0.031 11  0 A
2074.70288 17.712 0.031 11  0 A
2074.71152 17.664 0.028 11  0 A
2074.72012 17.660 0.028 11  0 A
2074.73135 17.688 0.029 11  0 A
2074.73992 17.620 0.028 11  0 A
2074.76370 17.620 0.028 11  0 A
2074.77232 17.704 0.032 11  0 A
2074.78091 17.693 0.036 11  0 A
2074.78951 17.701 0.038 11  0 A
2074.79938 17.702 0.032 11  0 A
2074.80798 17.702 0.031 11  0 A
2074.81682 17.719 0.032 11  0 A
2074.82543 17.723 0.034 11  0 A
2074.83403 17.662 0.029 11  0 A
2074.84266 17.656 0.026 11  0 A
2074.85130 17.660 0.027 11  0 A
2074.85987 17.651 0.025 11  0 A
2074.86892 17.648 0.027 11  0 A
2074.87746 17.669 0.036 11  0 A
2074.88606 17.676 0.031 11  0 A
