2452129.69452 19.694 0.121 4.00 913.0
2452132.63609 19.496 0.101 3.83 904.0
2452141.55189 19.550 0.122 4.49 906.0
2452144.64178 19.858 0.169 4.58 850.0
2452347.83597 19.746 0.141 4.18 918.0
2452357.86350 19.886 0.166 4.58 931.0
2452372.85137 20.036 0.226 5.10 1033.0
2452383.82325 19.806 0.145 4.41 908.0
2452390.82334 19.920 0.167 3.89 1194.0
2452397.70101 19.703 0.130 4.02 1176.0
2452401.83268 19.894 0.162 4.00 1041.0
2452403.90965 19.983 0.180 4.73 1075.0
2452405.89704 19.963 0.209 4.85 1101.0
2452414.90207 19.671 0.175 5.52 1017.0
2452416.85436 19.953 0.207 5.14 1061.0
2452424.82173 20.020 0.222 4.89 1145.0
2452434.74867 19.578 0.107 3.64 986.0
2452436.79738 19.914 0.174 4.34 1019.0
2452438.75816 20.062 0.211 4.73 906.0
2452441.73585 19.820 0.141 4.12 920.0
2452445.64198 19.825 0.154 4.13 914.0
2452448.66336 19.544 0.137 3.85 1514.0
2452455.70000 20.017 0.211 3.95 1699.0
2452459.62002 19.991 0.161 4.30 783.0
2452463.55132 19.862 0.181 4.73 1008.0
2452466.65047 19.999 0.228 5.78 874.0
2452468.68070 19.892 0.142 4.07 799.0
2452470.66313 19.580 0.114 4.11 827.0
2452472.68832 19.652 0.122 4.39 850.0
2452490.69045 19.772 0.176 5.16 896.0
2452495.75392 19.550 0.159 5.21 1234.0
2452498.51746 19.594 0.093 3.23 892.0
2452500.56195 19.660 0.120 3.58 977.0
2452502.57318 19.835 0.160 4.09 1081.0
2452512.61982 19.556 0.152 4.65 1132.0
2452517.57373 19.745 0.155 4.45 986.0
2452538.50073 19.551 0.147 4.33 1225.0
2452542.52805 19.697 0.170 3.76 2080.0
2452563.50055 19.943 0.210 5.05 1220.0
2452707.86995 20.041 0.199 4.63 887.0
2452714.90923 19.451 0.100 3.38 931.0
2452744.92116 19.795 0.140 4.35 1091.0
2452753.89559 19.916 0.194 5.03 1116.0
2452757.80733 20.102 0.212 4.51 1144.0
2452761.82443 19.767 0.145 4.39 1057.0
2452767.79975 19.874 0.228 5.83 1123.0
2452783.83278 19.815 0.151 4.42 1029.0
2452785.75841 19.909 0.178 4.85 1049.0
2452787.60875 19.837 0.212 5.49 1148.0
2452789.76546 19.765 0.149 4.56 1018.0
2452791.72186 20.017 0.186 4.47 878.0
2452794.93652 19.663 0.176 4.97 1330.0
2452796.83556 19.778 0.127 3.51 876.0
2452797.89680 19.760 0.143 4.40 1002.0
2452809.72467 19.911 0.214 4.91 1090.0
2452811.64901 19.865 0.232 5.96 1047.0
2452812.72352 19.611 0.153 5.44 1007.0
2452813.83279 19.943 0.191 4.62 1084.0
2452814.75633 20.006 0.208 5.15 970.0
2452816.62101 19.805 0.145 4.48 805.0
2452818.59229 19.864 0.150 4.15 890.0
2452820.79893 19.929 0.178 4.09 1119.0
2452826.76240 19.752 0.134 4.48 785.0
2452837.64332 19.350 0.179 5.33 2275.0
2452841.72507 19.939 0.174 4.24 1057.0
2452850.53023 19.682 0.123 3.45 1209.0
2452854.54637 19.814 0.167 4.65 1104.0
2452858.68936 19.516 0.197 4.61 2838.0
2452865.70560 19.678 0.176 4.27 1752.0
2452868.59182 19.659 0.117 3.97 917.0
2452876.58808 19.891 0.186 5.07 923.0
2452879.63836 20.046 0.206 4.58 901.0
2452884.66873 19.946 0.222 5.18 1123.0
2452895.63079 19.690 0.133 4.00 1152.0
2452906.51093 19.799 0.216 5.79 1140.0
2452911.53510 19.914 0.212 4.57 1069.0
2452918.55911 19.680 0.188 4.76 1359.0
2452930.58009 19.611 0.191 5.43 1420.0
2453051.88964 19.529 0.191 4.55 2624.0
2453064.82450 19.661 0.179 5.47 1220.0
2453067.89793 19.910 0.149 3.79 978.0
2453070.85946 20.047 0.250 5.63 1172.0
2453073.81488 19.834 0.183 4.99 1139.0
2453075.85355 19.573 0.129 4.16 1161.0
2453079.89809 19.993 0.234 3.87 2069.0
2453082.86906 19.861 0.151 4.05 884.0
2453084.91151 19.771 0.130 3.58 1125.0
2453086.84305 19.713 0.108 3.63 822.0
2453088.80051 19.756 0.119 3.86 788.0
2453089.90977 19.641 0.123 3.99 984.0
2453091.83799 19.722 0.139 4.58 836.0
2453098.85999 19.784 0.117 3.56 850.0
2453100.80908 20.098 0.190 3.90 993.0
2453101.92282 19.535 0.173 5.23 1493.0
2453103.78037 19.893 0.168 3.79 1207.0
2453108.77292 19.619 0.104 3.25 959.0
2453109.80510 19.564 0.107 3.94 840.0
2453110.83951 19.856 0.149 4.22 911.0
2453112.79783 19.726 0.134 4.89 742.0
2453113.87878 19.457 0.099 4.65 790.0
2453114.78965 20.000 0.153 3.75 820.0
2453115.87313 19.689 0.144 4.75 869.0
2453122.91566 19.617 0.156 5.28 985.0
2453126.90157 19.535 0.133 4.43 1028.0
2453127.81242 19.838 0.179 4.76 1089.0
2453128.82547 19.995 0.173 4.21 1076.0
2453130.70337 19.935 0.208 4.11 1444.0
2453134.82508 19.865 0.180 4.71 1044.0
2453135.90470 20.076 0.239 5.45 996.0
2453139.88373 19.907 0.158 4.88 889.0
2453140.88350 20.045 0.185 4.88 835.0
2453142.77177 19.772 0.142 4.59 890.0
2453146.81537 19.898 0.178 5.57 788.0
2453151.75537 19.898 0.194 5.38 838.0
2453156.84461 19.587 0.154 5.11 1110.0
2453162.81961 19.766 0.166 4.21 1159.0
2453163.63249 19.929 0.153 4.33 835.0
2453163.65425 19.733 0.116 4.05 816.0
2453165.76199 19.602 0.098 3.90 802.0
2453168.75519 20.044 0.189 4.81 847.0
2453169.73152 20.071 0.201 4.55 853.0
2453170.80857 19.748 0.118 3.92 799.0
2453171.83134 19.497 0.090 3.76 871.0
2453172.75829 19.724 0.124 4.19 756.0
2453174.71522 19.910 0.144 3.91 812.0
2453175.72457 19.718 0.128 4.39 892.0
2453178.78828 19.726 0.132 4.61 798.0
2453179.79797 19.921 0.173 4.78 875.0
2453180.72690 19.860 0.133 4.39 747.0
